id,text,similarity,title
10," Prematurity and daycare are underrepresented factors in this population, highlighting that factors contributing to severe disease differ substantially between geographic and developing regions",0.7717130865778258,Human Metapneumovirus Infection in Jordanian Children: Epidemiology and Risk Factors for Severe Disease
8,"► The virus-specific attributable risk of ARIs is a population-level metric to inform causal inference in the aetiology of ARIs and provides quantitative estimates of the relative proportions of virus-associated ARIs in the community, yielding important insights for prioritising public health interventions",0.7570818579685076,Viruses causing lower respiratory symptoms in young children: findings from the ORChID birth cohort Respiratory infection
26, This supports arguments that the observed associations between obesity and RTI burden are due to physiological differences in the immune responsiveness between obese and non-obese individuals rather than lifestyle differences,0.7487331307870755,Obesity and risk of respiratory tract infections: results of an infection-diary based cohort study
10, Our study highlights that the epidemiology of established risk factors are unique to specific populations,0.7483781349653104,Human Metapneumovirus Infection in Jordanian Children: Epidemiology and Risk Factors for Severe Disease
48," These preliminary results indicate that more robust surveillance data and evaluations are needed to estimate the disease burden and to understand whether geographic areas, climate and other environmental factors and patterns of human behavior influence the timing and severity of epidemics associated with these viral agents",0.7471626450644336,Viral Etiologies of Hospitalized Acute Lower Respiratory Infection Patients in China
30,"Demographic, socio-economic, clinical and epidemiological data were recorded in case report forms (CRFs)",0.7471171426826927,Outcome Risk Factors during Respiratory Infections in a Paediatric Ward in Antananarivo
40," Our data also reinforce previous findings that identified RSV as the major agent associated with severe LRTIs among children in a hospital setting, in populations of low socio-economic status, where other environmental and social variables potentially play a role [16, 17] ",0.7358365381900156,Severe lower respiratory tract infection in infants and toddlers from a non-affluent population: viral etiology and co-detection as risk factors
19,Few data exist on the explicit topic of URTI and adverse perinatal outcomes,0.7338791781494511,Does an Upper Respiratory Tract Infection During Pregnancy Affect Perinatal Outcomes? A Literature Review
24," These differences may reflect differences in study design, laboratory methodology, or population differences (race and socioeconomic status or size of study population), or case definition",0.7336977638965572,Maternal Infection and Adverse Fetal and Neonatal Outcomes
25, A recent systematic review concluded that most of the sub-Saharan African countries had insufficient epidemiological data to develop rational strategies for influenza prevention and control,0.7313759071003821,"Epidemiology of Severe Acute Respiratory Illness and Risk Factors for Influenza Infection and Clinical Severity among Adults in Malawi, 2011-2013"
