id,text,similarity,title
4," Using wavelet technology to process sound signals, their system achieves good performance comparable to other systems using different monitoring technologies",0.8500250126343937,Smart home technology for telemedicine and emergency management
29,Existing smart technology applications to mobile health care face several challenges,0.8478436822684546,Assessing factors critical to smart technology applications to mobile health care − the fgm-fahp approach
17,"When implemented into virus-discovery methods based on shotgun sequencing, next-generation technologies greatly enhance turnaround time and sensitivity",0.8375535644843854,Applications of Next-Generation Sequencing Technologies to Diagnostic Virology
0, Future research needs to focus on how to use internet-based surveillance systems to complement existing systems,0.8374222688390076,Internet-based surveillance systems for monitoring emerging infectious diseases
49, Any augmentation of technology and infrastructure also should improve nonemergency capability to be sustainable and effective,0.8351887254166036,CDC Support for Global Public Health Emergency Management RESPOND
4," To properly introduce smart environment in telemedicine and emergency management, the fundamental technologies, potential applications, their evaluations, and future directions are presented in a sequential coherent perspective",0.8332077275197344,Smart home technology for telemedicine and emergency management
30," 2 The question is-how can we reduce these gaps? Nationwide and globally, rapid changes in health information systems, cloud computing technologies, communications, and global connections are catalyzing a re-examination of disease surveillance as an enterprise that needs coordinated and integrated system elements",0.8316517080092231,Steps to a Sustainable Public Health Surveillance Enterprise Steps to a Sustainable Public Health Surveillance Enterprise A Commentary from the International Society for Disease Surveillance Steps to a Sustainable Public Health Surveillance Enterprise OJPHI
37," Certainly, processes will need optimization with modularization of different antigenic modules, but vaccine platform technologies provide flexibility and possibility for multi-product facilities",0.8310026600976707,Platform technologies for modern vaccine manufacturing
31," Emerging technologies are rapidly being adapted to improve our ability to de-tect new etiological agents, to provide rapid, accurate diagnostic tests for previously difficult infections, and to develop new response-based paradigms for diagnostic testing",0.8295684872022882,Future Veterinary Diagnostics
4," Innovation is important to improve the efficiency and effectiveness, and hence acceptance, of these systems",0.8292387187170543,Smart home technology for telemedicine and emergency management
