id,text,similarity,title
15, More complex interactions among these virus factors or other environmental factors may be involved,0.832693679894819,Respiratory viral infections and the risk of rheumatoid arthritis
41, The identification of predictors of disease severity may help to identify potential therapeutic targets,0.8146257216769127,IL-33 and ST2 as predictors of disease severity in children with viral acute lower respiratory infection
5," These risk factors can be categorized as environmental, maternal, and host factors",0.8133848948397084,Risk factors for severe bronchiolitis caused by respiratory virus infections among Mexican children in an emergency department
10," Thus, the epidemiology of previously established risk factors in this population are different than other cohorts where these factors are often predictors of respiratory virus severity",0.8027679677498717,Human Metapneumovirus Infection in Jordanian Children: Epidemiology and Risk Factors for Severe Disease
1," A number of other factors may also contribute to the higher number of infections experienced by athletes, including environmental factors, increased exposure to pathogens, poor nutritional practices and increased psychological stress",0.8025731026764314,Exercise and infection risk
18," In order to evaluate the impact of this potential bias, further prospective studies are needed with systematic screening of all potential viral and bacterial coinfections",0.7961950709215097,Preventing respiratory syncytial virus infections in hospitalized children and adults: should we do better? Infection Prevention in Practice
25," Comorbidities were also poorly recorded; thus, we were unable to evaluate chronic lung disease as a potential risk factor for influenza or adjust for underlying comorbidities in the multivariable analysis for clinical severity",0.7907697111408242,"Epidemiology of Severe Acute Respiratory Illness and Risk Factors for Influenza Infection and Clinical Severity among Adults in Malawi, 2011-2013"
10, Our study highlights that the epidemiology of established risk factors are unique to specific populations,0.7900993589695575,Human Metapneumovirus Infection in Jordanian Children: Epidemiology and Risk Factors for Severe Disease
48," These preliminary results indicate that more robust surveillance data and evaluations are needed to estimate the disease burden and to understand whether geographic areas, climate and other environmental factors and patterns of human behavior influence the timing and severity of epidemics associated with these viral agents",0.788502798043611,Viral Etiologies of Hospitalized Acute Lower Respiratory Infection Patients in China
10," Prematurity and daycare are underrepresented factors in this population, highlighting that factors contributing to severe disease differ substantially between geographic and developing regions",0.7873883556670556,Human Metapneumovirus Infection in Jordanian Children: Epidemiology and Risk Factors for Severe Disease
