id,text,similarity,title
13," These include potent polymerase inhibitors, entry inhibitors, cccDNA inhibitors, nucleocapsid assembly inhibitors, inhibitors of viral gene expression and HBsAg release inhibitors",0.8040877465507533,Inhibitor-Based Therapeutics for Treatment of Viral Hepatitis
17,"Defensins demonstrate antiviral activity against human immunodeficiency virus (HIV), mediated by direct virus-peptide interaction and/or inhibition of viral genome replication",0.8015086364434939,viruses Human Antimicrobial Peptides as Therapeutics for Viral Infections
40, A recent study showed that cation-complexed HIV-1 plasmid DNA vaccines applied topically to the murine pulmonary mucosa induced both mucosal and systemic immune responses models [175] ,0.7784520175440647,Molecular mechanisms for enhanced DNA vaccine immunogenicity
40, Hence combinations of multiple cytokines in a DNA vaccine formulation or sequential vaccination with cytokines may enhance vaccine efficacy,0.7733900862197022,Molecular mechanisms for enhanced DNA vaccine immunogenicity
21," They are representative compounds from major antiviral pharmacologic classes that are currently commercially available: nucleoside analogs, interferons, protease inhibitors, reverse transcriptase inhibitors and neuraminidase inhibitors",0.7726300795457982,Inhibition of SARS Coronavirus Infection In Vitro with Clinically Approved Antiviral Drugs
8," Their study demonstrated that RNA oligonucleotides targeting at the viral NS1 gene could potently inhibit highly pathogenic avian H5N1 influenza virus reproduction and thus, could potentially be used as prophylaxis and therapy for H5N1 influenza virus infection in humans [102] ",0.7678438294303709,Clinical Medicine Review Advancements in Nucleic Acid Based Therapeutics against Respiratory Viral Infections
21, Antiretroviral (HIV) drugs include reverse transcriptase (RT) inhibitors and protease inhibitors,0.765596500174162,Inhibition of SARS Coronavirus Infection In Vitro with Clinically Approved Antiviral Drugs
43," Typical therapy involves respiratory precautions and medication such as oseltamivir (Tamiflu), that inhibit the influenza protein neuraminidase involved in release of virus particles",0.7655024749379252,Antibody therapies for the prevention and treatment of viral infections
3," These compounds interact with non-structural proteins, viral proteases or the RNA-dependent RNA polymerase and thereby inhibit viral replication in infected cells",0.7626729382778425,molecules Pharmacological and Biological Antiviral Therapeutics for Cardiac Coxsackievirus Infections
5, Tofacitinib therapy may blunt cytokine production and/or leukocyte infiltration without enhancement of CHIKV replication,0.7613090324813427,Therapy with CTLA4-Ig and an antiviral monoclonal antibody controls chikungunya virus arthritis
