id,text,similarity,title
34," 111 In infants, twin studies suggest significant genetic susceptibility to BPD",0.6787437870397998,Postnatal Infections and Immunology Affecting Chronic Lung Disease of Prematurity
0, Current antiviral and respiratory therapies can reduce maternal morbidity and mortality,0.6523741516199597,Respiratory disease in pregnancy
47, studied incidence and etiology of viral infections among hospitalized children with VRI symptoms,0.6457945544151881,Epidemiology of viral respiratory infections in children undergoing heart surgery
34," 114 A number of additional studies, evaluating exome sequencing in extremes of disease, epigenomic regulation, transcriptome responses to exposures such as hyperoxia, and pathway analyses are ongoing to identify gene and gene regulatory susceptibility factors involved in pathogenesis of BPD",0.6440224212954426,Postnatal Infections and Immunology Affecting Chronic Lung Disease of Prematurity
31," 51 Thus, gene-environment interactions may contribute to susceptibility to virus-induced disease",0.6438695193624571,Viral Infections and Associated Factors That Promote Acute Exacerbations of Asthma Viral Infection and Asthma Exacerbation Viral Infection and Asthma Exacerbation Viral Infection and Asthma Exacerbation
25, Human immunodeficiency virusassociated incidence rate ratios (IRRs) were calculated by dividing the incidence in HIV-infected strata by the incidence in HIV-uninfected strata,0.6436708301914954,"Epidemiology of Severe Acute Respiratory Illness and Risk Factors for Influenza Infection and Clinical Severity among Adults in Malawi, 2011-2013"
28,"Vaccination significantly reduces the health burden of many infectious disease, especially in high-risk populations",0.6400423708578583,Pregnancy and infection: using disease pathogenesis to inform vaccine strategy
22, These publications suggest that nosocomial respiratory viral infections can lead to significant morbidity and mortality,0.6378528790959942,"Hospital-Acquired Respiratory Viral Infections: Incidence, Morbidity, and Mortality in Pediatric and Adult Patients"
10," Prematurity and daycare are underrepresented factors in this population, highlighting that factors contributing to severe disease differ substantially between geographic and developing regions",0.6360413474964547,Human Metapneumovirus Infection in Jordanian Children: Epidemiology and Risk Factors for Severe Disease
17, influenzae (NTHi) and Streptococcus pneumoniae adhering to human respiratory epithelial cells have been detected in RSV infections in vitro,0.6337054674657753,Correlation of viral load of respiratory pathogens and co-infections with disease severity in children hospitalized for lower respiratory tract infection
